Location,WindGustDir,WindDir9am,WindDir3pm,RainToday
Albury,ESE,ENE,SSE,No
Albury,WNW,ESE,NNE,No
Albury,W,WNW,NNW,Yes
Albury,NNW,NW,WNW,Yes
Albury,NW,N,NNW,Yes
Albury,WNW,W,W,Yes
Albury,SSE,SE,SSE,No
Albury,SW,ENE,W,No
Albury,S,N,SSE,No
Albury,W,ENE,WSW,No
Albury,SW,ENE,WNW,No
Albury,SW,SE,WNW,No
Albury,ESE,NNW,S,No
Albury,W,ENE,WNW,No
Albury,WNW,SE,W,No
Albury,WNW,WNW,WNW,No
Albury,WNW,NW,NW,No
Albury,W,W,WSW,Yes
Albury,W,E,E,No
Albury,E,SSE,ENE,No
Albury,SE,S,SE,No
Albury,E,NE,SE,No
Albury,NE,SE,NE,No
Albury,E,E,SSE,Yes
Albury,SE,ENE,SE,Yes
Albury,ENE,NW,E,Yes
Albury,W,NNE,W,No
Albury,NNW,NNW,NNW,Yes
Albury,WNW,WNW,WNW,Yes
Albury,W,NNW,WNW,Yes
Albury,WNW,W,WSW,Yes
Albury,ESE,E,SSE,No
Albury,ENE,E,NE,No
Albury,ESE,NE,SE,No
Albury,NNE,NE,NE,No
Albury,ENE,NW,ENE,Yes
Albury,SE,SE,ENE,Yes
Albury,W,ENE,SSE,No
Albury,ESE,ESE,SE,Yes
Albury,NNW,ESE,N,No
Albury,SE,ESE,ESE,Yes
Albury,SSE,SE,SE,No
Albury,W,WSW,NNW,Yes
Albury,NE,NE,NNE,Yes
Albury,NW,NE,NE,Yes
Albury,NW,N,NW,Yes
Albury,WNW,NW,WNW,Yes
Albury,W,W,WSW,Yes
Albury,WNW,WNW,WNW,No
Albury,W,W,W,No
Albury,ENE,NNE,WSW,No
Albury,NNW,SSE,NNW,No
Albury,WNW,N,NNW,No
Albury,W,N,SSW,Yes
Albury,N,NNE,SW,No
Albury,NNE,ESE,NE,No
Albury,N,ENE,ENE,No
Albury,W,ENE,NNW,No
Albury,WNW,W,W,Yes
Albury,N,ENE,NNW,No
Albury,WNW,NW,WNW,Yes
Albury,WNW,NW,WSW,Yes
Albury,W,W,WSW,Yes
Albury,NNW,SW,NNW,No
Albury,NNW,W,WNW,No
Albury,NNE,ENE,S,Yes
Albury,WNW,WNW,WSW,No
Albury,WNW,E,WSW,Yes
Albury,ESE,S,E,No
Albury,SE,SSE,SE,No
Albury,NNE,E,NNW,No
Albury,W,SSE,NW,Yes
Albury,NW,NW,N,No
Albury,NNE,SE,NE,No
Albury,W,NE,ENE,Yes
Albury,WNW,W,WNW,Yes
Albury,E,NE,S,No
Albury,N,ESE,N,No
Albury,WNW,NNE,WSW,No
Albury,NE,SE,NNE,Yes
Albury,NNE,ENE,NNE,Yes
Albury,WNW,NNW,NW,Yes
Albury,W,W,NW,Yes
Albury,NW,NNW,NW,Yes
Albury,N,ENE,N,No
Albury,NNW,ESE,E,No
Albury,W,NE,W,Yes
Albury,WNW,W,W,Yes
Albury,NW,NW,NW,Yes
Albury,WNW,WNW,W,Yes
Albury,ESE,ESE,E,No
Albury,NE,SE,NE,No
Albury,NW,ESE,WNW,Yes
Albury,WNW,ESE,NW,No
Albury,NE,SE,NE,No
Albury,W,ENE,W,No
Albury,W,W,WSW,No
Albury,W,W,WNW,No
Albury,NE,SE,NE,No
Albury,NNE,E,WNW,No
Albury,SW,NE,NNW,No
Albury,S,ESE,S,No
Albury,E,E,ESE,No
Albury,WNW,E,NW,No
Albury,NNW,NE,WNW,No
Albury,NE,ESE,ENE,No
Albury,NNE,NNW,N,Yes
Albury,W,W,WSW,Yes
Albury,NW,WNW,NW,Yes
Albury,NNW,NNE,N,No
Albury,WNW,WNW,W,Yes
Albury,W,WNW,W,Yes
Albury,W,W,W,No
Albury,NW,E,WNW,No
Albury,NNW,E,NNE,No
Albury,SSW,N,S,No
Albury,SE,S,SSW,No
Albury,SSE,ESE,ESE,Yes
Albury,SE,ENE,SSE,No
Albury,ESE,E,SE,No
Albury,SSE,ESE,S,No
Albury,SE,SE,S,No
Albury,W,SE,NNE,No
Albury,W,SSE,NE,No
Albury,N,N,NW,Yes
Albury,W,WNW,W,Yes
Albury,WNW,NW,WSW,Yes
Albury,W,W,WNW,Yes
Albury,WSW,SE,W,No
Albury,NW,SSW,ESE,No
Albury,NE,WSW,NW,No
Albury,NNW,SE,S,No
Albury,SSE,ESE,SSE,No
Albury,WSW,SE,SSE,No
Albury,WNW,ENE,SW,No
Albury,WSW,E,W,No
Albury,SE,WSW,WSW,No
Albury,SE,SE,SSE,No
Albury,ENE,S,NNE,No
Albury,W,SE,SE,No
Albury,NNW,SE,N,No
Albury,WSW,SE,S,No
Albury,SSE,E,SE,No
Albury,WNW,SE,SE,No
Albury,S,SE,SE,No
Albury,W,W,W,No
Albury,WNW,WSW,WNW,No
Albury,NE,SE,SE,No
Albury,SSE,SE,S,No
Albury,S,SE,S,No
Albury,SSE,SE,E,No
Albury,WSW,ESE,SSE,No
Albury,SW,SE,SW,No
Albury,ESE,SSE,SE,No
Albury,WSW,E,SW,No
Albury,SE,SE,SSE,No
Albury,W,SSE,SSW,No
Albury,W,ENE,W,No
Albury,W,SSE,S,No
Albury,SSE,SSE,SSE,No
Albury,N,S,W,No
Albury,NW,NNE,WNW,No
Albury,NW,SSE,WNW,No
Albury,NE,NE,SSE,Yes
Albury,W,WSW,S,No
Albury,WNW,SSE,S,No
Albury,SE,S,S,No
Albury,N,SE,WNW,No
Albury,W,WNW,NW,No
Albury,WNW,WSW,WNW,Yes
Albury,SE,SSE,SE,Yes
Albury,E,SE,SE,No
Albury,WNW,SSE,WSW,No
Albury,W,S,NNW,No
Albury,WSW,SW,SW,No
Albury,W,SE,WSW,No
Albury,W,NE,W,No
Albury,W,ENE,NW,No
Albury,SW,WSW,SW,No
Albury,WNW,SSW,NW,Yes
Albury,W,SE,W,No
Albury,SW,WSW,SW,No
Albury,WSW,ENE,SW,No
Albury,SW,SSE,WSW,No
Albury,SSE,SSE,SSE,No
Albury,SSW,SE,S,No
Albury,NNW,SSE,NNE,No
Albury,NW,S,WNW,No
Albury,W,NW,W,Yes
Albury,WSW,SSE,WSW,No
Albury,NNW,SSE,ESE,No
Albury,NW,ESE,NW,No
Albury,WSW,ENE,SW,No
Albury,E,SE,N,No
Albury,NNE,N,NNW,No
Albury,N,SSE,NW,No
Albury,ENE,S,NE,No
Albury,SE,SW,WSW,No
Albury,SSE,ENE,NE,No
Albury,N,S,NE,No
Albury,N,ENE,NE,No
Albury,NNE,NW,WNW,Yes
Albury,W,S,W,Yes
Albury,W,SSW,SW,No
Albury,SW,ENE,NNW,No
Albury,W,E,NW,No
Albury,WNW,ENE,W,No
Albury,N,SE,WNW,No
Albury,W,ESE,W,No
Albury,WSW,E,SW,No
Albury,NE,SE,NNW,No
Albury,NNW,S,NNW,No
Albury,SW,WSW,WNW,No
Albury,SSW,SSE,SSE,Yes
Albury,NNW,SE,NE,No
Albury,W,N,W,No
Albury,WNW,W,W,No
Albury,SW,W,WSW,No
Albury,W,W,WSW,No
Albury,W,SSE,WNW,No
Albury,W,SE,WNW,No
Albury,NNW,SE,NNW,No
Albury,WSW,WNW,W,No
Albury,SSW,SSE,WNW,No
Albury,WNW,E,WSW,No
Albury,W,S,WSW,No
Albury,NW,SE,WNW,No
Albury,SSE,SE,NNE,No
Albury,NE,SSE,NW,No
Albury,NE,ENE,E,No
Albury,E,S,SSE,No
Albury,ENE,SSE,NE,Yes
Albury,E,SSE,ESE,No
Albury,SE,S,SSW,Yes
Albury,SE,SE,SE,Yes
Albury,SE,SE,E,No
Albury,NNW,ESE,ESE,No
Albury,NE,E,NE,No
Albury,SE,SSE,SE,No
Albury,ESE,SSW,SE,No
Albury,SE,SSE,E,No
Albury,NNE,E,WNW,No
Albury,NW,SE,N,No
Albury,SSW,SE,SE,No
Albury,E,ENE,NW,Yes
Albury,W,W,SSE,No
Albury,SE,SE,SE,No
Albury,NNW,ESE,ESE,No
Albury,NE,NE,NE,No
Albury,WSW,W,N,Yes
Albury,SE,NW,E,Yes
Albury,NW,N,NNW,Yes
Albury,NW,WNW,WNW,Yes
Albury,NNE,S,W,No
Albury,SE,SSE,SSE,No
Albury,SSW,N,W,No
Albury,SSE,SE,W,No
Albury,W,SSE,WNW,No
Albury,W,SSE,SW,No
Albury,WNW,SSE,WNW,No
Albury,WNW,S,WNW,No
Albury,NNW,E,NNW,No
Albury,W,ENE,N,No
Albury,WNW,W,WNW,Yes
Albury,SSE,SSE,NE,No
Albury,WNW,ESE,NW,No
Albury,SE,SE,N,No
Albury,SE,SSE,ENE,No
Albury,N,NNE,WNW,Yes
Albury,NW,WNW,WSW,Yes
Albury,E,SE,SSE,No
Albury,WNW,NE,NE,No
Albury,WNW,NW,W,Yes
Albury,SW,W,SW,No
Albury,SW,SSW,W,No
Albury,SSE,E,SSW,No
Albury,SSE,S,SSE,No
Albury,ESE,ENE,SSE,No
Albury,ENE,SSE,E,No
Albury,NW,ENE,SSW,No
Albury,NNW,ESE,NNW,No
Albury,NNW,NNE,NNW,Yes
Albury,W,WSW,W,Yes
Albury,SSE,E,S,No
Albury,NW,NE,WNW,Yes
Albury,W,WSW,WSW,No
Albury,SSW,NE,ESE,No
Albury,WNW,WSW,N,No
Albury,W,NW,W,Yes
Albury,W,NW,W,No
Albury,W,S,WNW,No
Albury,ENE,E,SSE,No
Albury,ENE,S,NE,No
Albury,WSW,WNW,WSW,No
Albury,W,ESE,W,No
Albury,SE,E,SE,No
Albury,ESE,S,SSE,No
Albury,WNW,NNW,WNW,No
Albury,NNW,ESE,NNW,No
Albury,ESE,ESE,ESE,No
Albury,E,E,SSE,Yes
Albury,SSE,SE,SSE,Yes
Albury,N,E,SE,Yes
Albury,SE,SSW,SSE,Yes
Albury,SSE,SSE,SE,No
Albury,SW,ESE,WSW,No
Albury,SW,SE,ENE,No
Albury,WNW,SSE,WNW,No
Albury,WNW,NNW,WNW,No
Albury,W,WSW,WSW,Yes
Albury,W,WSW,WSW,No
Albury,ESE,NNW,SSE,No
Albury,SSE,SE,ESE,No
Albury,NNW,E,E,No
Albury,W,NNW,WNW,Yes
Albury,W,NW,W,Yes
Albury,WNW,WNW,NW,Yes
Albury,W,S,W,No
Albury,ENE,E,E,No
Albury,NNE,E,SE,No
Albury,WNW,WNW,N,Yes
Albury,W,SW,NW,No
Albury,NNW,SE,WSW,No
Albury,N,ENE,N,No
Albury,N,SSE,NNW,No
Albury,ESE,S,SSE,No
Albury,SSE,WNW,W,Yes
Albury,N,NNW,NNE,No
Albury,N,W,NW,Yes
Albury,WNW,NW,E,No
Albury,NW,NW,NW,Yes
Albury,WNW,W,W,Yes
Albury,ENE,NNE,NNW,No
Albury,ENE,NE,N,No
Albury,NW,S,S,Yes
Albury,WNW,SSE,WNW,No
Albury,W,E,W,No
Albury,W,ENE,W,No
Albury,W,S,N,No
Albury,ESE,N,ESE,No
Albury,NNE,ENE,N,No
Albury,W,WSW,NW,Yes
Albury,WNW,N,WSW,Yes
Albury,W,W,WSW,Yes
Albury,NW,SE,WNW,No
Albury,E,NW,NE,No
Albury,NNW,E,N,Yes
Albury,NNE,NE,N,Yes
Albury,SW,W,WSW,Yes
Albury,ENE,NE,NE,No
Albury,WNW,NNE,N,Yes
Albury,W,N,W,Yes
Albury,NW,NNW,NW,Yes
Albury,W,WNW,WNW,Yes
Albury,WNW,WNW,W,No
Albury,N,E,NW,No
Albury,NW,SSE,WNW,No
Albury,WNW,NW,NNW,Yes
Albury,WNW,WNW,NNW,Yes
Albury,NW,NNW,WNW,Yes
Albury,NW,WNW,WSW,Yes
Albury,WSW,ENE,W,No
Albury,WSW,W,NW,No
Albury,N,S,NE,No
Albury,NW,SSW,SW,No
Albury,SE,SSE,E,No
Albury,N,NE,N,Yes
Albury,NNW,NW,W,Yes
Albury,NW,NW,W,Yes
Albury,SW,SE,WSW,Yes
Albury,NNE,ESE,ENE,No
Albury,ENE,SE,ENE,No
Albury,W,WNW,W,Yes
Albury,WNW,S,WNW,Yes
Albury,N,ESE,NW,No
Albury,W,E,WNW,No
Albury,WSW,SE,SE,No
Albury,WSW,W,WNW,No
Albury,WSW,W,W,No
Albury,SW,W,WSW,No
Albury,W,WNW,W,No
Albury,W,E,W,No
Albury,W,SSE,W,No
Albury,W,E,WNW,No
Albury,W,W,SE,No
Albury,NE,E,WNW,No
Albury,NW,S,NNW,No
Albury,WNW,NW,WNW,No
Albury,W,WNW,WNW,No
Albury,W,W,W,No
Albury,NNW,E,WNW,No
Albury,NE,NW,NE,No
Albury,NE,SE,NE,No
Albury,NE,SSE,NNE,No
Albury,NE,WNW,NNW,No
Albury,NE,ESE,SE,No
Albury,W,ESE,N,No
Albury,WSW,W,WSW,Yes
Albury,W,SE,WNW,No
Albury,N,SSW,ESE,No
Albury,NE,W,NE,No
Albury,E,SE,NNE,No
Albury,NNE,ESE,ENE,No
Albury,WSW,NNE,E,Yes
Albury,W,NNW,W,Yes
Albury,WNW,NNW,NE,Yes
Albury,W,WSW,W,Yes
Albury,WNW,WNW,NW,No
Albury,W,NW,WNW,No
Albury,WNW,W,WSW,No
Albury,NNE,E,N,No
Albury,W,W,NW,No
Albury,SSE,SE,S,Yes
Albury,WNW,SSE,WNW,No
Albury,WNW,SE,NW,No
Albury,WNW,S,W,Yes
Albury,NE,SSE,NNE,No
Albury,NE,E,ENE,No
Albury,NE,SE,ENE,Yes
Albury,NNW,N,NNW,Yes
Albury,W,W,W,Yes
Albury,SW,WSW,WSW,No
Albury,WNW,W,WNW,No
Albury,SSE,SE,E,No
Albury,ENE,SE,SE,No
Albury,ENE,SE,NNE,No
Albury,W,SE,N,No
Albury,NW,N,WSW,Yes
Albury,SSW,SE,S,No
Albury,WSW,E,NNW,No
Albury,N,SSE,NNE,No
Albury,NNE,NE,NE,No
Albury,ENE,E,ENE,No
Albury,N,WNW,WNW,Yes
Albury,W,W,W,Yes
Albury,W,W,WSW,No
Albury,W,E,W,No
Albury,W,ENE,WNW,No
Albury,SE,SSE,S,No
Albury,NE,E,SSE,No
Albury,N,E,W,No
Albury,ENE,SE,NNE,No
Albury,N,ENE,NNE,No
Albury,N,NNE,NNE,No
Albury,W,ENE,WSW,No
Albury,WSW,NNW,ENE,Yes
Albury,N,SE,N,Yes
Albury,NNE,NNW,NW,Yes
Albury,SSE,SE,SE,Yes
Albury,SE,SE,NE,Yes
Albury,SE,SE,SE,Yes
Albury,NW,ESE,S,No
Albury,NNE,SE,S,Yes
Albury,WSW,SSW,WNW,Yes
Albury,SSE,SSE,SE,No
Albury,ENE,SE,NE,No
Albury,NNE,NE,NE,No
Albury,NNW,NNE,NNE,Yes
Albury,W,W,WNW,Yes
Albury,WNW,WNW,W,No
Albury,WNW,W,WNW,No
Albury,NW,W,WNW,No
Albury,WNW,ESE,SW,No
Albury,ENE,SE,NE,No
Albury,NNE,ENE,NNW,No
Albury,W,W,WSW,No
Albury,NW,NE,W,No
Albury,WNW,NNW,W,No
Albury,W,ENE,NNW,Yes
Albury,WSW,W,WSW,Yes
Albury,WSW,WSW,W,Yes
Albury,SW,ESE,SE,No
Albury,NE,SE,ENE,No
Albury,SSE,NE,N,No
Albury,SW,E,W,No
Albury,W,W,W,No
Albury,SSE,SE,ENE,No
Albury,NW,N,SW,No
Albury,SW,ESE,WSW,No
Albury,N,ESE,N,No
Albury,ENE,S,WSW,No
Albury,W,SW,WSW,No
Albury,WNW,SSE,WNW,No
Albury,SSE,SE,SE,No
Albury,SSE,ENE,SW,No
Albury,NNE,SE,N,No
Albury,NNE,NNE,SW,No
Albury,ENE,SE,SSE,No
Albury,ENE,SSE,ENE,Yes
Albury,NE,SE,NNE,Yes
Albury,NE,NE,NW,Yes
Albury,NE,ESE,ENE,Yes
Albury,NE,NE,NNE,Yes
Albury,WSW,SE,SSE,Yes
Albury,WSW,S,NW,No
Albury,WSW,WNW,W,No
Albury,W,S,S,No
Albury,NE,E,SE,No
Albury,E,SSE,NNE,No
Albury,N,SE,NNW,No
Albury,NE,ESE,N,No
Albury,ENE,E,S,No
Albury,SW,S,W,No
Albury,SW,S,SSW,No
Albury,E,SE,SSE,No
Albury,NW,ENE,NNW,No
Albury,SSE,SE,ESE,No
Albury,S,SSE,S,No
Albury,NW,E,NW,No
Albury,NNE,NNE,N,No
Albury,WNW,S,SE,Yes
Albury,NW,NE,NW,Yes
Albury,WSW,WNW,W,Yes
Albury,SSE,SSE,WNW,No
Albury,SE,ESE,SE,No
Albury,NNE,S,E,No
Albury,N,SSE,ENE,No
Albury,SW,NE,NNW,Yes
Albury,WNW,W,WNW,Yes
Albury,SSE,SSE,S,No
Albury,ENE,E,E,No
Albury,ESE,ESE,N,No
Albury,ESE,SE,E,No
Albury,NNE,N,NW,Yes
Albury,WNW,WSW,WNW,Yes
Albury,W,WSW,W,No
Albury,SW,SSE,SSW,No
Albury,WSW,ESE,W,No
Albury,WSW,NE,WSW,No
Albury,WNW,S,NNW,No
Albury,W,SSE,N,No
Albury,WNW,SSW,NE,No
Albury,SE,SSE,ESE,Yes
Albury,WSW,W,WSW,No
Albury,WNW,S,WNW,No
Albury,WSW,ESE,WSW,No
Albury,W,ENE,W,No
Albury,SE,SSE,E,No
Albury,SE,ESE,NNE,No
Albury,NE,E,NNE,No
Albury,N,ENE,ENE,Yes
Albury,SSE,S,SE,Yes
Albury,E,SE,NE,No
Albury,SW,E,W,No
Albury,WNW,SSW,SSE,No
Albury,SE,SSE,SSE,No
Albury,NNE,SSE,ENE,No
Albury,SE,SE,ENE,No
Albury,E,SSE,NE,No
Albury,W,NNW,WNW,No
Albury,WNW,NNW,WNW,Yes
Albury,WNW,W,WSW,No
Albury,SSE,NNW,SE,No
Albury,E,S,ENE,No
Albury,SW,ESE,NW,No
Albury,SSE,ESE,SSE,No
Albury,W,WNW,WNW,Yes
Albury,WSW,SSW,NE,No
Albury,W,WNW,WNW,Yes
Albury,W,W,WSW,Yes
Albury,W,SE,W,No
Albury,E,E,ENE,No
Albury,WNW,NNE,WNW,Yes
Albury,WNW,WSW,WNW,Yes
Albury,SE,S,SE,No
Albury,W,NE,WSW,No
Albury,N,NNW,SSE,No
Albury,NW,ENE,NW,No
Albury,W,W,WNW,Yes
Albury,WSW,W,WNW,Yes
Albury,SW,S,NW,No
Albury,WNW,WNW,W,Yes
Albury,WSW,W,SSW,No
Albury,SSE,NNE,SSE,No
Albury,S,E,S,No
Albury,WNW,NW,W,No
Albury,NW,WNW,WNW,No
Albury,N,NNE,NNE,Yes
Albury,NNW,NW,WNW,Yes
Albury,NW,WNW,NW,No
Albury,W,W,W,Yes
Albury,WNW,NE,S,No
Albury,SE,SSE,S,No
Albury,NE,NE,NNW,No
Albury,E,SE,SE,No
Albury,N,E,SE,No
Albury,SE,ESE,S,No
Albury,W,N,NW,Yes
Albury,WNW,NW,WNW,Yes
Albury,NW,NW,NNW,Yes
Albury,WNW,WNW,W,Yes
Albury,WNW,WNW,WNW,Yes
Albury,WNW,NNW,WNW,No
Albury,W,WNW,W,Yes
Albury,W,WNW,WNW,No
Albury,SW,S,ENE,Yes
Albury,W,SE,SSE,No
Albury,WNW,W,N,Yes
Albury,SE,SE,SE,No
Albury,SE,NW,S,No
Albury,SSE,SE,SSE,No
Albury,NW,SE,NW,Yes
Albury,WNW,NE,S,Yes
Albury,SE,ESE,S,No
Albury,E,NW,ESE,No
Albury,SE,WNW,SSE,No
Albury,E,NNE,ENE,No
Albury,NNE,ESE,N,No
Albury,ESE,SE,NNE,No
Albury,WSW,SE,ESE,Yes
Albury,WNW,WNW,SSW,Yes
Albury,WSW,S,W,Yes
Albury,W,ENE,WNW,Yes
Albury,WNW,N,W,Yes
Albury,SSE,SE,SE,Yes
Albury,SW,SSE,W,No
Albury,ENE,SE,ESE,Yes
Albury,NE,SE,NE,Yes
Albury,WNW,WNW,WNW,Yes
Albury,SE,SSE,SE,No
Albury,SE,SE,SSE,No
Albury,SW,ESE,SW,No
Albury,WSW,NNE,NW,No
Albury,S,E,NNE,No
Albury,ENE,ESE,SE,No
Albury,N,SSE,N,No
Albury,WNW,S,W,No
Albury,WSW,ESE,W,No
Albury,W,W,WNW,No
Albury,WNW,SE,WSW,No
Albury,S,E,S,No
Albury,ESE,SE,E,No
Albury,NE,ESE,ENE,No
Albury,ENE,ENE,E,No
Albury,W,N,W,Yes
Albury,WNW,SSE,NW,No
Albury,S,W,WSW,No
Albury,W,E,NW,No
Albury,WSW,SSE,S,No
Albury,NE,E,NE,No
Albury,NNW,SE,WSW,No
Albury,WNW,SE,NE,No
Albury,W,WNW,W,No
Albury,ENE,E,N,No
Albury,W,W,WNW,No
Albury,SE,ESE,NW,No
Albury,SSE,S,E,No
Albury,ENE,ESE,NNE,No
Albury,ENE,ESE,NE,No
Albury,WNW,ESE,ENE,No
Albury,NW,WNW,WNW,Yes
Albury,NW,NW,NNW,Yes
Albury,ENE,SE,SW,Yes
Albury,SSE,S,S,Yes
Albury,WSW,SSE,E,No
Albury,SSW,ESE,S,No
Albury,ENE,SE,SSE,No
Albury,SW,S,S,No
Albury,W,S,WSW,Yes
Albury,WSW,SE,W,No
Albury,WSW,W,WNW,No
Albury,W,S,S,No
Albury,NNE,ESE,NNE,No
Albury,NE,ESE,NE,No
Albury,W,E,W,No
Albury,W,WSW,W,No
Albury,W,S,ESE,No
Albury,NNW,SE,WNW,No
Albury,WSW,SSE,SSE,No
Albury,NE,SE,NNW,No
Albury,WSW,ENE,S,No
Albury,ENE,SW,S,No
Albury,NE,SSE,WNW,No
Albury,W,NNW,SW,No
Albury,SE,SE,SSE,Yes
Albury,N,E,SE,No
Albury,E,SE,ENE,No
Albury,ENE,ESE,NE,No
Albury,W,N,NW,Yes
Albury,W,WNW,W,No
Albury,SW,SE,W,No
Albury,WSW,ESE,WNW,No
Albury,W,W,WSW,No
Albury,SW,SW,WNW,No
Albury,SW,ESE,ESE,No
Albury,SW,ESE,SE,No
Albury,NW,ESE,NNW,No
Albury,E,ENE,E,Yes
Albury,WNW,SSE,WSW,No
Albury,WNW,SSE,NNW,No
Albury,W,WNW,W,Yes
Albury,ENE,ESE,N,No
Albury,W,ENE,WSW,No
Albury,W,SE,NNE,No
Albury,W,NNW,W,No
Albury,WNW,SSE,W,No
Albury,WSW,SSE,SSW,No
Albury,S,SSE,SSE,No
Albury,NNW,E,NNW,No
Albury,WSW,SSE,SSE,No
Albury,W,WNW,WNW,No
Albury,W,ENE,WSW,No
Albury,N,S,NNW,Yes
Albury,SE,SE,SE,No
Albury,NNE,E,NW,No
Albury,W,E,N,No
Albury,WSW,WNW,WNW,Yes
Albury,WSW,SE,WSW,Yes
Albury,SE,SE,NW,No
Albury,W,NNE,WNW,No
Albury,SE,SSE,SE,No
Albury,ESE,SE,SE,No
Albury,NW,E,S,No
Albury,W,NNE,SSW,No
Albury,SSE,ESE,NE,No
Albury,ENE,SE,ENE,No
Albury,N,SSE,ESE,No
Albury,W,SSE,SW,Yes
Albury,W,E,W,No
Albury,SE,S,SSW,No
Albury,S,SSE,SE,No
Albury,SE,SE,SSE,No
Albury,SE,ESE,ENE,No
Albury,SE,SSE,N,No
Albury,NNE,NE,NE,No
Albury,NNE,N,WNW,Yes
Albury,SE,SE,ENE,No
Albury,ENE,SE,E,No
Albury,ESE,SE,SE,No
Albury,S,SSE,SE,No
Albury,SE,SE,SSE,No
Albury,SW,SE,N,Yes
Albury,SE,NE,SW,Yes
Albury,SW,SSE,ENE,No
Albury,WNW,SE,WSW,No
Albury,SSE,SSE,SSE,No
Albury,SSE,SE,SSE,No
Albury,WSW,E,W,No
Albury,SSW,SSE,SSW,No
Albury,SSW,ESE,S,No
Albury,NW,SE,W,No
Albury,W,W,W,No
Albury,W,SE,SW,No
Albury,SSE,SE,SSW,No
Albury,NNE,ENE,NE,No
Albury,NNW,NNE,WSW,Yes
Albury,W,WNW,W,Yes
Albury,NW,W,W,No
Albury,SW,W,WSW,No
Albury,S,ESE,N,Yes
Albury,WNW,SSE,WSW,No
Albury,SE,SSE,ESE,No
